2025/07/03 22:10:01.099112 [INFO] Log Publish not set, skipping...
2025/07/03 22:30:01.116713 [INFO] Log Publish not set, skipping...
2025/07/03 22:50:01.133795 [INFO] Log Publish not set, skipping...
2025/07/03 23:10:01.287998 [INFO] Log Publish not set, skipping...
2025/07/03 23:30:01.303364 [INFO] Log Publish not set, skipping...
2025/07/03 23:50:01.317553 [INFO] Log Publish not set, skipping...
2025/07/04 00:10:01.478506 [INFO] Log Publish not set, skipping...
2025/07/04 00:30:01.492515 [INFO] Log Publish not set, skipping...
2025/07/04 00:50:01.505815 [INFO] Log Publish not set, skipping...
2025/07/04 01:10:01.680089 [INFO] Log Publish not set, skipping...
2025/07/04 01:30:01.694460 [INFO] Log Publish not set, skipping...
2025/07/04 01:50:01.708129 [INFO] Log Publish not set, skipping...
2025/07/04 02:10:01.872918 [INFO] Log Publish not set, skipping...
2025/07/04 02:30:01.886587 [INFO] Log Publish not set, skipping...
2025/07/04 02:50:01.900384 [INFO] Log Publish not set, skipping...
2025/07/04 03:10:01.076091 [INFO] Log Publish not set, skipping...
2025/07/04 03:30:01.091554 [INFO] Log Publish not set, skipping...
2025/07/04 03:50:01.105809 [INFO] Log Publish not set, skipping...
2025/07/04 04:10:01.257715 [INFO] Log Publish not set, skipping...
2025/07/04 04:30:01.273178 [INFO] Log Publish not set, skipping...
2025/07/04 04:50:01.287712 [INFO] Log Publish not set, skipping...
